id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
940,Stratus,Discraft,Midrange,18,5,4,-4,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=stratus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1111307.webp,stratus,discraft,midrange,very-understable,#FF3737,#000000,177.6,21.4,1.8,1.2,19,1.2,5.6,36.25,6.58,,,,97-04,"Apr 12, 1997"
941,Streak,Climo Disc Golf,Fairway Driver,17,7,5,0,1,Stable,,,streak,climo-disc-golf,control-driver,stable,#FFFFFF,#071139,179.3,21.6,1.9,1.2,18.2,1.7,5.6,37,9.2,,,,25-95,"Jun 23, 2025"
942,Strike,Other,Fairway Driver,17,7,5,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Strike&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000274.webp,strike,other,control-driver,stable,#000000,#E5FFAA,,,,,,,,,,,,,,
943,Striker,Latitude 64,Fairway Driver,17,8,5,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=striker&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4391592.webp,striker,latitude-64,control-driver,stable,#FFFFFF,#F40909,177.6,21.4,1.6,1.2,17.6,1.9,5.6,29,11.68,,,,08-32,"Nov 12, 2008"
944,Strive,Latitude 64,Distance Driver,15,13,5,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Strive&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000417.webp,strive,latitude-64,distance-driver,overstable,#FFFFFF,#F40909,175.1,21.1,1.8,1.1,16.6,2.2,5.2,32,11.93,,,,23-268,"Dec 11, 2023"
945,Stryder,Prodigy,Midrange,18,6,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Stryder&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000244.webp,stryder,prodigy,midrange,overstable,#000000,#10A259,,,,,,,,,,,,,,
946,Stud,Innova,Putter,19,3,3,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Stud&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4391594.webp,stud,innova,putter,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,
947,Sultan,Infinite Discs,Distance Driver,15,12,5,-2,2,Stable,,,sultan,infinite-discs,distance-driver,stable,#FFFFFF,#62054C,176,21.2,1.5,1.2,16.4,2.4,5.7,27,10.34,,,,25-20,"Jan 27, 2025"
948,Summit,Vibram,Putter,19,2,3,-1,0,Understable,https://www.marshallstreetdiscgolf.com/?s=summit&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2353867.webp,summit,vibram,putter,understable,#FFDC2D,#9A7D2C,,,,,,,,,,,,,,
949,Sumo,Legacy,Approach Discs,20,4,2,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Sumo&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000388.webp,sumo,legacy,approach-discs,very-overstable,#3831F0,#E43DD9,,,,,,,,,,,,,,
