"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Lone Star Disc","Artemis","175.1","21.1","2.0","1.4","18.8","1.2","6.6","50.50","8.18","","","","23-140","May 15, 2023"
"Axiom Discs","Pitch","176.0","21.2","2.0","1.6","19.5","0.8","7.5","79.75","4.20","","","","23-139","May 15, 2023"
"Sacred Discs","Gnome","176.0","21.2","1.9","1.4","19.2","1.0","6.6","53.25","5.11","","","","23-141","May 15, 2023"
"FotCot Discs","BumbleBob","174.3","21.0","2.2","1.3","18.8","1.1","6.2","54.25","7.84","","","","23-142","May 15, 2023"
"FotCot Discs","ChooChooBob","176.0","21.2","2.1","1.2","18.6","1.3","5.7","47.25","8.75","","","","23-143","May 15, 2023"
"FotCot Discs","ParkingBob","174.3","21.0","1.6","1.1","17.6","1.7","5.2","30.75","7.95","","","","23-145","May 15, 2023"
"FotCot Discs","GlowBob","179.3","21.6","1.9","1.2","18.9","1.3","6.0","41.75","5.80","","","","23-144","May 15, 2023"
"Kastaplast","Vass","176.8","21.3","1.7","1.1","16.9","2.2","5.2","26.25","8.41","","","","23-135","May 8, 2023"
"Newb SimHouse Custom Discs","NSH11 Bird of Prey","175.1","21.1","1.6","1.1","17.1","2.0","5.2","29.00","5.80","","","","23-136","May 8, 2023"
"Kastaplast","Kaxe (retooled)","175.1","21.1","1.7","1.3","17.8","1.6","6.2","35.00","8.18","","","","23-137","May 8, 2023"
"Orbital Discs","Valhalla Reaper","174.3","21.0","1.6","1.1","16.4","2.3","5.2","26.50","12.16","","","","23-134","May 1, 2023"
"Clash Discs","Peppermint","176.0","21.2","1.7","1.4","18.5","1.4","6.6","44.25","9.55","","","","23-133","May 1, 2023"
"Clash Discs","Cinnamon","175.1","21.1","1.6","1.2","17.1","2.0","5.7","30.50","11.25","","","","23-132","May 1, 2023"
"Clash Discs","Cherry","177.6","21.4","1.7","1.4","18.5","1.4","6.5","51.00","7.84","","","","23-131","May 1, 2023"
"Clash Discs","Candy","176.0","21.2","2.3","1.5","18.8","1.2","7.1","65.25","8.30","","","","23-130","May 1, 2023"
"Thought Space Athletics","Crux","177.6","21.4","2.0","1.4","18.5","1.4","6.5","47.25","8.52","","","","23-129","May 1, 2023"
"Remix Disc Golf","Ronin","176.8","21.3","1.9","1.2","17.4","1.9","5.6","31.50","9.77","","","","23-128","Apr 27, 2023"
"Mint Discs","Taco","177.6","21.4","1.9","1.4","18.5","1.4","6.5","43.00","11.93","","","","23-126","Apr 27, 2023"
"Mint Discs","UFO","176.0","21.2","2.1","1.5","19.0","1.1","7.1","62.25","9.20","","","","23-127","Apr 27, 2023"
"Mint Discs","Lasso","176.0","21.2","1.9","1.2","17.8","1.7","5.7","34.00","10.80","","","","23-124","Apr 27, 2023"
"Mint Discs","Salamander","176.0","21.2","1.8","1.4","17.8","1.7","6.6","52.50","10.23","","","","23-125","Apr 27, 2023"
"OZDG","EVO","176.0","21.2","2.3","1.5","18.8","1.2","7.1","55.50","11.14","","","","23-119","Apr 24, 2023"
"Reptilian Disc Golf","Iguana ","181.8","21.9","1.8","1.2","19.1","1.4","5.5","29.75","11.14","","","","23-120","Apr 24, 2023"
"Innova Champion Discs","Rollo","180.9","21.8","1.6","1.1","18.8","1.5","5.0","32.75","7.50","","","","23-123","Apr 24, 2023"
"Innova Champion Discs","Alien (new)","179.3","21.6","2.2","1.4","18.7","1.4","6.5","48.50","10.23","","","","23-122","Apr 24, 2023"
"Exel Discs","Kelo","174.3","21.0","1.7","1.2","17.0","2.0","5.7","32.75","11.36","","","","23-121","Apr 24, 2023"
"Hobbysport","Hobbysport Driver","176.0","21.2","1.9","1.2","17.3","1.9","5.7","31.25","8.98","","","","23-116","Apr 17, 2023"
"Doomsday Discs","Desolation","176.0","21.2","2.1","1.6","18.1","1.5","7.5","33.50","7.73","","","","23-115","Apr 17, 2023"
"Disctroyer OÜ","Woodpecker (Rähn)","176.8","21.3","1.7","1.4","18.9","1.2","6.6","59.75","8.18","","","","23-117","Apr 17, 2023"
"Doomsday Discs","Depth Charge","180.9","21.8","1.9","1.4","20.0","0.9","6.4","104.00","5.34","","","","23-118","Apr 17, 2023"
"Neptune Discs ","Splash","176.0","21.2","2.1","1.4","19.1","1.1","6.6","64.25","6.59","","","","23-113","Apr 10, 2023"
"Neptune Discs ","Nautilus","181.8","21.9","1.7","1.2","19.1","1.4","5.5","35.00","7.16","","","","23-112","Apr 10, 2023"
"Neptune Discs ","Marlin","174.3","21.0","1.8","1.2","17.6","1.8","5.7","31.25","8.30","","","","23-111","Apr 10, 2023"
"Goliath Discs","Pillar","174.3","21.0","1.8","1.4","18.4","1.3","6.7","68.50","11.82","","","","23-110","Apr 10, 2023"
"Orbital Discs","Deranged Squirrel ","175.1","21.1","1.6","1.1","16.1","2.5","5.2","26.00","10.68","","","","23-114","Apr 10, 2023"
"Momentum Discs AB","Gain","178.5","21.5","1.9","1.1","19.3","1.1","5.1","49.75","9.55","","","","23-108","Apr 4, 2023"
"HIAARO (Giant Industry)","Statue of Liberty","176.0","21.2","2.1","1.2","18.7","1.3","5.7","43.00","11.48","","","","23-107","Apr 3, 2023"
"Lone Star Disc","Crockett","176.8","21.3","1.7","1.2","16.9","2.2","5.6","28.00","7.39","","","","23-109","Apr 3, 2023"
"Hobbysport","Hobbysport Putter","175.1","21.1","2.3","1.4","18.5","1.3","6.6","44.75","12.05","","","","23-90","Mar 27, 2023"
"Remix Disc Golf","Goliath","176.0","21.2","1.6","1.2","17.0","2.1","5.7","31.00","9.89","","","","23-97","Mar 27, 2023"
"Remix Disc Golf","Haymaker","176.0","21.2","1.8","1.2","17.2","2.0","5.7","31.50","10.45","","","","23-98","Mar 27, 2023"
"Remix Disc Golf","Gladius","177.6","21.4","1.9","1.4","18.5","1.4","6.5","45.75","9.20","","","","23-96","Mar 27, 2023"
"Remix Disc Golf","Troll","176.0","21.2","1.8","1.2","17.6","1.8","5.7","37.00","8.98","","","","23-106","Mar 27, 2023"
"Remix Disc Golf","Mercenary","176.0","21.2","1.8","1.2","17.8","1.7","5.7","34.25","8.64","","","","23-101","Mar 27, 2023"
"Remix Disc Golf","Behemoth","176.0","21.2","1.8","1.2","16.6","2.3","5.7","26.50","10.11","","","","23-92","Mar 27, 2023"
"Remix Disc Golf","Eldritch","176.0","21.2","2.0","1.5","18.9","1.1","7.1","55.75","8.07","","","","23-95","Mar 27, 2023"
"Remix Disc Golf","Skirmisher","176.0","21.2","1.6","1.2","17.3","1.9","5.7","33.50","9.43","","","","23-103","Mar 27, 2023"
"Remix Disc Golf","Rumble","176.0","21.2","1.7","1.2","17.1","2.0","5.7","33.75","10.23","","","","23-102","Mar 27, 2023"
"Remix Disc Golf","Creature","177.6","21.4","1.8","1.4","18.6","1.4","6.5","46.25","8.41","","","","23-93","Mar 27, 2023"
"Remix Disc Golf","Detonator","176.0","21.2","1.9","1.6","19.0","1.1","7.5","62.50","7.95","","","","23-94","Mar 27, 2023"
"Remix Disc Golf","Mastodon","176.0","21.2","2.1","1.5","19.1","1.0","7.1","57.50","7.39","","","","23-100","Mar 27, 2023"
"Remix Disc Golf","Spartan","176.0","21.2","1.6","1.2","17.0","2.1","5.7","32.50","10.45","","","","23-104","Mar 27, 2023"
"Remix Disc Golf","Torpedo","177.6","21.4","1.6","1.4","18.5","1.4","6.5","42.50","7.73","","","","23-105","Mar 27, 2023"
"Remix Disc Golf","Battleship","177.6","21.4","1.8","1.4","18.5","1.4","6.5","50.50","9.77","","","","23-91","Mar 27, 2023"
"Remix Disc Golf","Heavy Metal","176.0","21.2","1.8","1.4","18.8","1.2","6.6","37.75","8.18","","","","23-99","Mar 27, 2023"
"Clash Discs","Lotus","177.6","21.4","1.6","1.3","17.6","1.9","6.1","32.50","9.09","","","","23-88","Mar 23, 2023"
"Clash Discs","Fudge","176.8","21.3","2.0","1.5","19.2","1.1","7.0","63.00","6.48","","","","23-87","Mar 23, 2023"
"RPM Discs/Disc Golf Aotearoa","Tara Iti (Fairy Tern, DGFD3)","176.0","21.2","1.5","1.2","17.0","2.1","5.7","30.00","9.32","","","","23-81","Mar 23, 2023"
"Jester Disc Golf","Peace Train","178.5","21.5","1.7","1.3","18.6","1.4","6.0","41.75","8.07","","","","23-82","Mar 23, 2023"
"Clash Discs","Vanilla","177.6","21.4","1.6","1.1","17.1","2.1","5.1","26.00","9.66","","","","23-89","Mar 23, 2023"
"AstroDisc","Honu","175.1","21.1","1.7","1.2","17.1","2.0","5.7","32.75","9.89","","","","23-85","Mar 23, 2023"
"AstroDisc","Frog","175.1","21.1","1.7","1.2","17.1","2.0","5.7","32.50","11.93","","","","23-84","Mar 23, 2023"
"AstroDisc","Tiki","175.1","21.1","1.7","1.2","17.1","2.0","5.7","31.00","10.68","","","","23-86","Mar 23, 2023"
"Pie Pan Discs","Spire","175.1","21.1","2.0","1.1","16.4","2.4","5.2","26.75","9.55","","","","23-83","Mar 23, 2023"
"Yikun Discs","Serpentine (伏羲, Fú Xī)","176.0","21.2","1.6","1.2","16.6","2.3","5.7","27.50","8.41","","","","23-78","Mar 20, 2023"
"Momentum Discs AB","Impetus","176.8","21.3","1.8","1.2","17.5","1.9","5.6","30.25","12.05","","","","23-77","Mar 20, 2023"
"Infinite Discs","Roman","176.0","21.2","1.5","1.2","17.3","1.9","5.7","27.25","9.20","","","","23-80","Mar 20, 2023"
"Kastaplast","Krut","176.0","21.2","1.7","1.1","16.8","2.2","5.2","30.25","8.98","","","","23-76","Mar 20, 2023"
"Disc Golf Association","Avalanche","","21.2","1.5","1.1","17.4","1.9","5.2","32.25","12.16","","","","23-79","Mar 20, 2023"
"STM Disc Golf","Badia","174.3","21.0","1.7","1.2","17.4","1.8","5.7","34.50","12.16","","","","23-65","Mar 13, 2023"
"Northstar Discs","Pacific OS","174.3","21.0","1.7","1.2","17.1","2.0","5.7","28.00","9.89","","","","23-66","Mar 13, 2023"
"Northstar Discs","Paladin OS","174.3","21.0","2.0","1.3","17.4","1.8","6.2","32.00","9.32","","","","23-67","Mar 13, 2023"
"Orbital Discs","Viperwolf","175.1","21.1","1.5","1.1","16.1","2.5","5.2","26.00","7.16","","","","23-74","Mar 13, 2023"
"Orbital Discs","Ignition","174.3","21.0","1.6","1.2","17.0","2.0","5.7","29.00","11.59","","","","23-71","Mar 13, 2023"
"Orbital Discs","Euphoria","174.3","21.0","1.9","1.2","17.4","1.8","5.7","27.00","12.05","","","","23-69","Mar 13, 2023"
"Orbital Discs","Bliss","180.1","21.7","2.3","1.3","18.9","1.4","6.0","43.25","8.64","","","","23-68","Mar 13, 2023"
"Orbital Discs","Solar Eclipse","180.9","21.8","1.6","1.2","19.3","1.3","5.5","48.75","2.39","","","","23-73","Mar 13, 2023"
"Orbital Discs","Hyrrokin","176.0","21.2","1.8","1.3","18.9","1.2","6.1","60.50","8.75","","","","23-70","Mar 13, 2023"
"Orbital Discs","Kore","176.0","21.2","2.1","1.5","19.3","1.0","7.1","62.25","4.66","","","","23-72","Mar 13, 2023"
"Trash Panda Disc Golf","Dune","178.5","21.5","1.8","1.4","19.1","1.2","6.5","49.50","8.18","","","","23-75","Mar 13, 2023"
"Alfa Discs","Timberline Apollo (variant)","182.6","22.0","1.7","1.3","19.4","1.3","5.9","49.75","5.11","","","","23-63","Mar 6, 2023"
"Discraft","Zone OS","176.0","21.2","1.8","1.4","18.9","1.2","6.6","64.25","12.05","","","","23-64","Mar 6, 2023"
"Shenzhen Reanson Products Co., Ltd","X 090","200.0","27.6","3.1","2.0","26.0","0.8","7.2","86.25","7.84","Super Class & Vintage Class","184.9","","23-60","Feb 27, 2023"
"Newb SimHouse Custom Discs","NX-01","176.0","21.2","1.5","1.1","16.2","2.5","5.2","27.50","7.95","","","","23-61","Feb 27, 2023"
"Kastaplast","Stig","175.1","21.1","1.9","1.2","18.0","1.6","5.7","39.00","7.50","","","","23-62","Feb 27, 2023"
"Gateway Disc Sports","Blade V2 (variant)","176.0","21.2","1.7","1.2","17.2","2.0","5.7","34.00","11.93","","","","23-55","Feb 23, 2023"
"Gateway Disc Sports","Speed Demon GT (variant)","176.8","21.3","2.0","1.1","16.9","2.2","5.2","26.00","6.36","","","","23-56","Feb 23, 2023"
"Gateway Disc Sports","Warlock GE (variant)","176.0","21.2","1.9","1.5","19.2","1.0","7.1","56.25","6.93","","","","23-57","Feb 23, 2023"
"Goliath Discs","Ambush","174.3","21.0","1.5","1.2","16.5","2.2","5.7","36.25","8.98","","","","23-59","Feb 23, 2023"
"Infinite Discs","Raze","176.0","21.2","1.9","1.5","19.0","1.1","7.1","66.25","11.48","","","","23-58","Feb 23, 2023"
"Gateway Disc Sports","G-ONE","175.1","21.1","1.7","1.2","16.4","2.3","5.7","28.00","11.02","","","","23-49","Feb 20, 2023"
"Gateway Disc Sports","Houdini","176.0","21.2","1.9","1.5","18.8","1.2","7.1","55.75","7.95","","","","23-50","Feb 20, 2023"
"Gateway Disc Sports","Amphibian","175.1","21.1","1.9","1.2","17.1","2.0","5.7","29.50","8.18","","","","23-48","Feb 20, 2023"
"Exel Discs","Tuohi","176.0","21.2","1.8","1.3","18.2","1.5","6.1","34.50","7.61","","","","23-52","Feb 20, 2023"
"Exel Discs","Puro","177.6","21.4","2.1","1.2","17.8","1.8","5.6","32.75","7.95","","","","23-51","Feb 20, 2023"
"Lone Star Disc","Benny","175.1","21.1","1.9","1.5","18.9","1.1","7.1","58.50","6.93","","","","23-54","Feb 20, 2023"
"Lone Star Disc","Harrier","175.1","21.1","1.7","1.2","16.5","2.3","5.7","27.50","6.93","","","","23-53","Feb 20, 2023"
"Innova Champion Discs","Juggernaut","175.1","21.1","1.7","1.2","16.4","2.3","5.7","26.50","11.02","","","","23-45","Feb 13, 2023"
"Prodigy Disc","Feedback","176.0","21.2","1.7","1.1","17.2","2.0","5.2","31.00","10.34","","","","23-47","Feb 13, 2023"
"Discmania","MD5 (new)","176.0","21.2","2.0","1.3","18.2","1.5","6.2","51.25","12.25","","","","23-46","Feb 13, 2023"
"Northstar Discs","Launcher OS","174.3","21.0","1.9","1.1","16.3","2.4","5.2","27.00","9.77","","","","23-42","Feb 6, 2023"
"Northstar Discs","Launcher (new)","174.3","21.0","1.7","1.1","16.3","2.4","5.2","27.00","10.34","","","","23-41","Feb 6, 2023"
"Northstar Discs","Launcher US","174.3","21.0","1.8","1.1","16.3","2.4","5.2","27.00","9.89","","","","23-43","Feb 6, 2023"
"Hooligan Discs","Cash","176.0","21.0","1.7","1.4","18.9","1.0","6.7","58.50","7.05","","","","23-40","Feb 6, 2023"
"Newb SimHouse Custom Discs","NSH 1701","176.0","21.1","1.5","1.1","16.1","2.5","5.2","27.00","7.39","","","","23-44","Feb 6, 2023"
"Essential Discs","Oxygen","176.0","21.2","1.6","1.2","17.0","2.1","5.7","42.75","12.25","","","","23-33","Feb 2, 2023"
"Essential Discs","Purpose","177.6","21.4","1.7","1.3","18.5","1.4","6.1","33.00","12.16","","","","23-35","Feb 2, 2023"
"Essential Discs","Peace","176.0","21.2","1.8","1.4","18.9","1.1","6.6","58.25","6.93","","","","23-34","Feb 2, 2023"
"Essential Discs","Harmony","178.5","21.5","1.7","1.4","18.6","1.4","6.5","39.50","11.70","","","","23-32","Feb 2, 2023"
"Essential Discs","Rain","176.8","21.3","1.7","1.2","17.4","1.9","5.6","61.25","12.05","","","","23-36","Feb 2, 2023"
"Essential Discs","Solara","176.0","21.2","1.5","1.1","16.6","2.3","5.2","28.50","12.16","","","","23-37","Feb 2, 2023"
"Kliffa Discs","Tasty","179.3","21.6","1.9","1.2","18.8","1.4","5.6","44.50","6.59","","","","23-39","Feb 2, 2023"
"Kliffa Discs","Misty","174.3","21.0","1.7","1.1","17.0","2.0","5.2","30.50","8.86","","","","23-38","Feb 2, 2023"
"Millennium Golf Discs","Vela","176.0","21.2","1.8","1.2","17.6","1.8","5.7","43.75","8.07","","","","23-24","Feb 2, 2023"
"Yikun Discs","Shadowlight (射弓, Shè Gōng)","176.0","21.2","1.6","1.2","16.3","2.4","5.7","28.75","11.14","","","","23-29","Jan 30, 2023"
"Yikun Discs","Golden Crow (金乌, Jīn Wū)","179.3","21.6","2.0","1.2","17.8","1.9","5.6","29.50","7.05","","","","23-27","Jan 30, 2023"
"Yikun Discs","Lifetree (扶桑, Fú Sāng)","176.8","21.3","2.0","1.6","19.3","1.0","7.5","62.50","5.80","","","","23-25","Jan 30, 2023"
"Yikun Discs","Lord Archer (后裔, Hoú Yì)","176.0","21.2","1.8","1.1","17.2","2.0","5.2","28.75","8.86","","","","23-26","Jan 30, 2023"
"Yikun Discs","Dragoness (女娲, Nü Wā)","181.8","21.9","1.9","1.2","18.5","1.7","5.5","28.00","6.25","","","","23-28","Jan 30, 2023"
"Yikun Discs","Lightbearer (羲和, Xī Hé)   ","177.6","21.4","2.0","1.2","17.6","1.9","5.6","31.50","7.27","","","","23-31","Jan 30, 2023"
"Yikun Discs","Angel (天石, Tiān Shí) ","176.8","21.3","1.7","1.3","18.9","1.2","6.1","55.50","10.80","","","","23-30","Jan 30, 2023"
"Birdie","Ultra","176.8","21.4","1.6","1.2","18.4","1.5","5.6","44.75","10.68","","","","23-22","Jan 30, 2023"
"Axiom Discs","Tempo","176.0","21.2","1.6","1.4","18.7","1.2","6.6","55.50","7.16","","","","23-23","Jan 30, 2023"
"Full Turn Discs","Guide","180.9","21.8","1.8","1.2","19.0","1.4","5.5","55.50","6.36","","","","23-20","Jan 23, 2023"
"Wing It Disc Golf","Dream ","176.8","21.3","1.4","1.1","16.5","2.4","5.2","27.00","9.32","","","","23-21","Jan 23, 2023"
"Dynamic Discs","Sockibomb Felon","176.0","21.2","1.6","1.1","17.1","2.0","5.2","31.50","11.93","","","","23-18","Jan 23, 2023"
"Dynamic Discs","Supreme Fugitive","180.1","21.7","1.9","1.3","18.7","1.5","6.0","39.00","11.70","","","","23-19","Jan 23, 2023"
"STM Disc Golf","Cloud Ripper","175.1","21.1","2.1","1.4","18.8","1.2","6.6","46.25","8.75","","","","23-12","Jan 16, 2023"
"STM Disc Golf","Osiris","178.5","21.5","2.2","1.3","18.9","1.3","6.0","52.75","10.34","","","","23-13","Jan 16, 2023"
"STM Disc Golf","War Bonnet","175.1","21.1","1.7","1.1","16.3","2.4","5.2","28.50","12.25","","","","23-15","Jan 16, 2023"
"STM Disc Golf","Overwatch","175.1","21.1","2.1","1.4","18.8","1.2","6.6","42.25","9.32","","","","23-14","Jan 16, 2023"
"Goto Disc Golf","Skool","174.3","21.0","2.2","1.5","18.9","1.1","7.1","57.00","10.34","","","","23-16","Jan 16, 2023"
"Elevation Disc Golf","Gecko","175.1","21.1","1.5","1.1","17.5","1.8","5.2","33.50","1.59","","","","23-17","Jan 16, 2023"
"Premier Discs","War Bear","176.0","21.2","1.8","1.1","17.9","1.7","5.2","35.75","9.20","","","","23-10","Jan 9, 2023"
"Legacy Discs","Rebel","174.3","21.0","2.1","1.5","18.9","1.1","7.1","60.25","9.77","","","","23-11","Jan 9, 2023"
"Independent Discs Sweden AB","Sense","175.1","21.1","1.9","1.3","18.9","1.1","6.2","58.75","7.84","","","","23-1","Jan 9, 2023"
"Osuma Disc","Husky","176.0","21.2","1.7","1.1","17.4","1.9","5.2","31.50","7.73","","","","23-4","Jan 9, 2023"
"Osuma Disc","Pike","180.1","21.7","1.7","1.4","18.8","1.4","6.5","39.00","6.82","","","","23-5","Jan 9, 2023"
"Osuma Disc","Santa","176.8","21.3","2.1","1.6","19.2","1.0","7.5","57.25","6.02","","","","23-6","Jan 9, 2023"
"Prodiscus","Empire","175.1","21.1","1.9","1.2","16.3","2.4","5.7","28.00","8.30","","","","23-3","Jan 9, 2023"
"Wild Discs","Tasmanian Devil V2","176.0","21.2","1.8","1.1","17.2","2.0","5.2","30.75","8.64","","","","23-2","Jan 9, 2023"
"Lone Star Disc","Brazos","176.0","21.2","1.7","1.1","17.7","1.8","5.2","29.25","7.16","","","","23-9","Jan 9, 2023"
"Terminal Velocity Discs","Cervini","176.8","21.3","1.5","1.1","17.3","2.0","5.2","31.00","7.16","","","","23-8","Jan 9, 2023"
"Jester Disc Golf","Love","176.0","21.2","2.0","1.5","19.0","1.1","7.1","59.00","7.16","","","","23-7","Jan 9, 2023"
"Lone Star Disc","Frio","175.1","21.1","1.6","1.1","17.6","1.8","5.2","32.50","7.50","","","","22-230","Dec 26, 2022"
"Lone Star Disc","Seguin","175.1","21.1","1.6","1.1","16.6","2.3","5.2","28.00","7.84","","","","22-231","Dec 26, 2022"
"Discraft","Venom (retooled)","174.3","21.0","2.0","1.2","16.6","2.2","5.7","29.00","12.25","","","","22-232","Dec 26, 2022"
"Dynamic Discs","Supreme Trespass","175.1","21.1","1.7","1.1","16.6","2.2","5.2","30.00","11.93","","","","22-229","Dec 19, 2022"
"National Perk Service","Big Bend","175.1","21.1","1.4","1.1","16.4","2.4","5.2","28.25","5.80","","","","22-220","Dec 12, 2022"
"Exel Discs","Nila","176.8","21.3","1.9","1.6","19.1","1.1","7.5","66.00","6.59","","","","22-222","Dec 12, 2022"
"Exel Discs","Korpi","177.6","21.4","1.6","1.1","16.7","2.3","5.1","29.25","8.98","","","","22-221","Dec 12, 2022"
"Latitude 64","Honor","176.0","21.2","1.8","1.1","17.4","1.9","5.2","31.75","10.23","","","","22-223","Dec 12, 2022"
"Latitude 64","Savior","177.6","21.4","1.7","1.2","19.1","1.2","5.6","46.75","9.32","","","","22-224","Dec 12, 2022"
"Finish Line Discs","Pace","175.1","21.1","2.0","1.5","18.9","1.1","7.1","60.25","10.68","","","","22-225","Dec 12, 2022"
"Innova Champion Discs","Alien","178.5","21.5","2.5","1.5","20.3","0.6","7.0","82.00","3.30","","","","22-228","Dec 12, 2022"
"Doomsday Discs","Pestilence","176.0","21.2","1.5","1.1","16.5","2.4","5.2","28.00","8.64","","","","22-226","Dec 12, 2022"
"Doomsday Discs","Scope","176.0","21.2","1.5","1.2","18.5","1.4","5.7","35.75","3.41","","","","22-227","Dec 12, 2022"
"TOSY","TOSY Smart S12","175.1","21.1","1.6","1.3","15.9","2.6","6.2","30.00","9.32","","","","22-217","Dec 5, 2022"
"Wingman Discs","Havran","182.6","22.0","2.0","1.3","19.2","1.4","5.9","42.50","12.16","","","","22-219","Dec 5, 2022"
"Pie Pan Discs","Uncle","174.3","21.0","1.7","1.2","16.5","2.3","5.7","30.75","9.43","","","","22-213","Nov 28, 2022"
"Discmania","Tailor","180.1","21.7","1.8","1.3","19.1","1.3","6.0","45.25","8.86","","","","22-212","Nov 28, 2022"
"Discmania","CD1","176.0","21.2","1.7","1.1","17.3","1.9","5.2","31.25","8.52","","","","22-209","Nov 28, 2022"
"Discmania","DD1","176.0","21.2","1.5","1.1","16.8","2.2","5.2","30.75","8.30","","","","22-210","Nov 28, 2022"
"Discmania","FD1","176.0","21.2","1.7","1.1","17.6","1.8","5.2","36.25","8.98","","","","22-211","Nov 28, 2022"
"Lone Star Disc","Nimitz","176.0","21.2","1.7","1.1","16.9","2.2","5.2","27.75","7.05","","","","22-215","Nov 28, 2022"
"Lone Star Disc","Bayonet","174.3","21.0","1.8","1.1","16.4","2.3","5.2","26.00","7.50","","","","22-214","Nov 28, 2022"
"National Perk Service","Death","177.6","21.4","2.2","1.5","19.2","1.1","7.0","70.75","5.23","","","","22-216","Nov 28, 2022"
"Taito Frisbeegolf","Tarkka (Premium variant)","176.8","21.3","2.1","1.6","19.1","1.1","7.5","59.75","7.05","","","","22-200","Nov 21, 2022"
